	low	med	high
unadjusted_est	0.09416313957428406	0.15916114660714872	0.17445228353591258
('unadjusted_est', 'std')	0.004010053872691282	0.0064290649834940995	0.008506881451920278
q_only	0.06597068060826873	-0.06141235185214885	-0.006068559417796372
('q_only', 'std')	0.025593744936421612	0.016444328104590372	0.020772096482483935
plugin	0.19954820758986927	-0.12887939114058097	-0.022275418699057453
('plugin', 'std')	0.0846365351745316	0.030449807369605616	0.04687711407138725
tmle_mse	0.1749508420476821	0.323630652960639	0.10177936528241331
('tmle_mse', 'std')	0.11950096950271336	0.045397388212745284	0.059928471724730675
tmle_ce	0.23999134032358171	0.6557651424401668	0.18394003753325353
('tmle_ce', 'std')	0.13997882606365908	0.17692203739609544	0.11592830180411601
aiptw	-0.24030651452770602	0.4263273486937169	0.10773856419174933
('aiptw', 'std')	0.22580591524921162	0.1025348002021811	0.08118177711393515
ground_truth	0.06178307290424149	0.05746922783163355	0.032609770972097975
('ground_truth', 'std')	9.805506917675923e-06	0.00020442581088716888	0.00016257425491763127
