	low	med	high
unadjusted_est	0.09040115164378554	0.13929046623618957	0.17401563632166506
('unadjusted_est', 'std')	0.0	0.0	0.0
q_only	0.12181271381624546	0.1107384399202166	0.14085218896750903
('q_only', 'std')	0.0	0.0	0.0
plugin	-0.004368164759117954	-0.019800324520954128	-0.026791276395494362
('plugin', 'std')	0.0	0.0	0.0
tmle_mse	0.3906405409552113	0.44215015868044344	0.6306480495654306
('tmle_mse', 'std')	0.0	0.0	0.0
tmle_ce	0.33832535449600126	0.3626788124407941	0.46120710254480857
('tmle_ce', 'std')	0.0	0.0	0.0
aiptw	0.27055334843648626	0.28959763572536035	0.4130053294418987
('aiptw', 'std')	0.0	0.0	0.0
